Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United States,USA,CO2 emissions (kt),EN.ATM.CO2E.KT,"2890696,1","2880505,507","2987207,873","3119230,874","3255995,306","3390922,571","3561878,111","3695708,943","3831354,94","4024748,853","4328904,501","4356770,034","4564952,958","4770194,948","4598487,673","4406329,539","4613100,668","4742292,745","4890861,25","4901796,244","4723209,677","4535800,308","4306748,487","4341878,347","4475192,132","4492555,377","4495463,308","4688373,177","4892526,068","4955081,421",4844990,4808090,4880200,5000350,5073230,5126900,5283110,5547990,5590700,5610300,5776410,5749250,5594160,5659630,5740030,5756080,5656580,5740270,5563340,5159550,5392870,5172100,4950210,5089500,5102580,4982790,4888640,4813720,4981300,,
China,CHN,CO2 emissions (kt),EN.ATM.CO2E.KT,"780726,302","552066,85","440359,029","436695,696","436923,05","475972,933","522789,522","433234,048","468928,626","577237,138","771617,474","876633,02","931575,681","968542,708","988014,478","1145607,47","1196193,735","1310310,775","1462168,579","1494859,884","1467192,369","1451501,276","1580260,647","1667029,201","1814908,31","1966553,428","2068969,071","2209708,531","2369501,723","2408540,605",2173360,2302190,2418180,2643530,2763900,3084870,3064880,3128650,3232120,3149200,3344090,3526750,3808330,4413300,5121830,5819120,6431910,6988210,7195010,7715110,8470570,9278250,9533210,9936680,9894940,9830430,9814310,10017770,10313460,,
Japan,JPN,CO2 emissions (kt),EN.ATM.CO2E.KT,"232781,16","283118,069","293220,654","325222,563","359318,329","386919,838","419743,155","489881,864","562565,471","653958,112","768823,22","797543,164","853373,239","915748,909","915873,587","870072,757","908902,62","935213,345","903886,164","955620,2","947571,135","929606,502","900200,829","883838,675","940130,792","915396,877","915334,538","905734,332","989081,575","1025549,89",1092560,1105660,1117470,1109660,1162940,1172790,1186230,1173990,1131250,1165890,1182950,1170620,1206970,1215780,1211090,1213820,1190260,1226360,1159620,1101210,1156080,1212170,1252220,1260900,1219820,1181500,1171390,1151930,1106150,,
Germany,DEU,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955310,932370,892750,887010,875810,873090,902750,870900,863140,833350,830080,847500,833180,836550,820830,802170,814160,783600,789550,734660,772920,746380,760020,777630,737490,742310,747150,732200,709540,,
United Kingdom,GBR,CO2 emissions (kt),EN.ATM.CO2E.KT,"584299,78","588938,535","593360,937","603822,888","608355,3","622619,93","618564,228","592517,527","606969,174","628857,497","653063,364","660863,073","648486,948","660034,331","617607,141","603643,205","598912,775","604746,972","605084,336","644893,288","579290,658","560819,979","548520,861","545741,275","529335,117","559855,558","568777,369","571868,65","570464,189","581721,879",556690,570340,552980,540520,535390,524290,544660,522330,525030,522360,530120,544480,530230,542080,542320,540600,541640,529160,514410,465120,481790,444420,467080,453060,414850,400370,378890,366380,358800,,
India,IND,CO2 emissions (kt),EN.ATM.CO2E.KT,"120581,961","130402,187","143467,708","154083,673","150647,694","165972,087","171765,947","172238,99","187336,029","190724,337","195143,072","205869,047","217849,136","224343,393","231992,755","252201,592","263785,645","279051,366","283096,067","296891,321","314016,211","338838,134","349637,449","378669,088","388118,947","426673,785","457571,927","488481,07","527563,956","579008,299",562480,607340,630260,652470,687950,741100,776720,821480,839830,904090,940170,953880,987530,1015890,1087190,1137740,1214250,1336100,1423880,1568530,1665310,1760800,1908570,1966810,2136870,2150220,2183280,2301440,2434520,,
France,FRA,CO2 emissions (kt),EN.ATM.CO2E.KT,"271218,654","281211,229","298706,486","334019,696","345303,055","351852,317","347235,564","372009,816","384631,63","413259,899","439013,24","462434,369","480729,032","516599,626","499071,366","446919,292","505602,293","480857,377","505858,983","529155,434","505363,938","454700,666","436893,714","422603,415","405342,846","400880,107","385614,386","377491,981","372207,834","390649,177",356540,380690,368660,349530,344480,352280,367960,359140,381180,375000,373240,376860,371170,376840,377950,380820,371600,362910,358210,343880,347940,333530,336330,336630,304530,310520,312710,316360,309960,,
Italy,ITA,CO2 emissions (kt),EN.ATM.CO2E.KT,"109357,274","124549,655","146456,313","164780,312","175957,328","189767,25","214248,142","234427,643","249495,346","270008,544","296740,974","311588,657","328970,237","354320,208","359406,337","342310,783","367312,389","356175,71","373234,594","387466,221","388969,691","378020,029","369681,271","361364,515","367649,753","372134,494","366454,311","383670,876","389780,098","408907,17",405260,404070,402270,396930,392290,416420,412150,415520,426370,433010,436300,436570,443470,462200,472410,473830,466650,459370,444980,397060,405270,396690,376750,346450,327490,337860,333340,329190,324850,,
Canada,CAN,CO2 emissions (kt),EN.ATM.CO2E.KT,"192895,201","194182,318","207185,5","211109,19","237801,283","252153,921","259319,239","281896,958","303539,592","307400,943","341485,708","352607,719","381136,979","381621,023","389970,782","397143,434","399317,965","408151,768","415896,472","442067,851","443233,957","430003,421","414811,04","408687,15","425595,687","422079,034","405053,153","431349,21","456053,789","463274,112",419120,412930,426000,422680,438820,449500,463160,478530,486760,495140,515000,506940,525470,545360,537250,549970,541070,571310,550200,520800,535030,547720,547140,556350,561830,558800,550480,562260,574400,,
"Korea, Rep.",KOR,CO2 emissions (kt),EN.ATM.CO2E.KT,"12552,141","14462,648","17278,904","21103,585","22218,353","25005,273","30014,395","35151,862","37242,052","42522,532","53783,889","58616,995","60336,818","73094,311","75686,88","81829,105","93306,815","105712,276","113405,642","133211,109","134868,593","139742,036","141905,566","150904,384","163911,233","178333,544","182451,585","192660,513","221959,843","235846,772",249250,274040,296210,326630,353230,384310,408880,430480,365670,400940,455690,470520,461940,464610,484900,480080,486940,501500,513190,525390,574260,597290,598960,597640,586000,606510,614780,625350,630870,,
