Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;
United States;USA;GDP (current US$);NY.GDP.MKTP.CD;543300000000;563300000000;605100000000;638600000000;685800000000;743700000000;815000000000;861700000000;942500000000;1019900000000;1073303000000;1164850000000;1279110000000;1425376000000;1545243000000;1684904000000;1873412000000;2081826000000;2351599000000;2627333000000;2857307000000;3207041000000;3343789000000;3634038000000;4037613000000;4338979000000;4579631000000;4855215000000;5236438000000;5641580000000;5963144000000;6158129000000;6520327000000;6858559000000;7287236000000;7639749000000;8073122000000;8577554457000;9062818202000;9631174489000;10250947997000;10581929774000;10929112955000;11456442041000;12217193198000;13039199193000;13815586948000;14474226905000;14769857911000;14478064934000;15048964444000;15599728123000;16253972230000;16843190993000;17550680174000;18206020741000;18695110842000;19479620056000;20527156026000;21372572437000;20893743833000;22996100000000;
Russian Federation;RUS;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;554713455149.502;506500173960.269;516814274021.956;517962962962.963;460290556900.726;435083713850.837;395077301248.464;395537185734.854;391724890744.498;404928954191.876;270955486862.442;195907128350.934;259710142196.943;306602070620.5;345470494417.863;430347770731.787;591016690742.798;764017107992.391;989930542278.695;1299705764823.62;1660846387624.78;1222644282201.86;1524917468442.01;2045925608274.37;2208295773643.15;2292473246621.08;2059241965490.83;1363481063446.77;1276786979221.81;1574199387070.9;1657329646183.62;1693113904262.89;1488321875489.74;1775799919352.98;
Saudi Arabia;SAU;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;4187777711.11111;4485777644.44444;5377268848.44444;7184863276.49996;9664067929.69504;14947491056.4938;45412971909.8592;46773303721.2872;64005623869.6884;74188363504.5814;80265732292.0344;111859726428.231;164541658298.013;184291888768.662;153238991867.452;129171602026.049;119624918955.732;103897892810.602;86962013011.0721;85695941759.6796;88256162069.4259;95344352822.4299;117630271802.403;132223268491.322;137087876662.216;132967901415.22;135174886488.652;143343036341.789;158662398744.993;165963557409.88;146775498080;161716960000;189514926213.333;184137469733.333;189605920240;215807655253.333;258742263040;328459700114.755;376900135727.637;415964583055.37;519796738640;429097899280;528207332649.536;671238840108.229;735974843348.664;746647127407.619;756350347320.381;654269739552.019;644935682011.475;688586094412.68;816578674529.141;803616264791.024;703367841222.555;833541236569.315;
China;CHN;GDP (current US$);NY.GDP.MKTP.CD;59716467625.3148;50056868957.6732;47209359005.6057;50706799902.5104;59708343488.5043;70436266146.7219;76720285969.6157;72881631326.6715;70846535055.6503;79705906247.4612;92602973434.0726;99800958648.1436;113687586299.051;138544284708.957;144182133387.722;163431551779.761;153940455341.506;174938098826.569;149540752829.268;178280594413.043;191149211575;195866382432.54;205089699858.779;230686747153.257;259946510957.143;309488028132.653;300758100107.246;272972974764.574;312353631207.819;347768051311.741;360857912565.966;383373318083.624;426915712715.856;444731282435.515;564324670008.238;734547898224.101;863746717507.397;961603952954.233;1029043097558.91;1093997267277.1;1211346869600.41;1339395718862.89;1470550015077.93;1660287965663.89;1955347004965.69;2285965892364.2;2752131773358.92;3550342737009.53;4594307032667.98;5101703073088.97;6087163874510.73;7551500124197.17;8532229986993.65;9570406235659.64;10475682920597.7;11061553079871.5;11233276536744.7;12310409370894.2;13894817549380.3;14279937500608;14687673892882;17734062645371.4;
Iran, Islamic Rep.;IRN;GDP (current US$);NY.GDP.MKTP.CD;4199134389.9037;4426949094.8403;4693566416.48346;4928628018.38759;5379845647.70139;6197319929.04038;6789938671.75094;7555383690.16;8623172959.89803;9743089607.49587;10976245153.5894;13731801564.0908;17153463263.1086;27081698249.5083;46209092072.1383;51776222349.8869;68055295080.7538;80600122701.9632;77994316621.4814;90391877325.9285;94362275580.0229;100499312749.923;125948756439.485;156365156618.241;162276728619.519;180183629599.684;209094561833.48;134009995923.169;123057861333.908;120496362916.271;124813263926.225;;;63743623232.012;71841461172.5964;96419225743.6737;120403931885.441;113919163421.155;110276913362.508;113848450088.351;109591707802.216;126878750295.944;128626917503.72;153544751395.43;190043433964.841;226452138291.542;266298911661.144;349881601458.56;412336172446.849;416397025729.361;486807615326.147;626133114526.806;644035510447.901;492775565649.562;460382791826.34;408212918053.939;457954614142.539;486630146443.617;330991589888.991;291362916336.415;231547571240.469;;
Iraq;IRQ;GDP (current US$);NY.GDP.MKTP.CD;1684121534.58415;1831700364.04369;1954634836.18034;1978437692.5231;2340521142.5371;;;;2896947633.71605;3008120974.51694;3281713805.65668;3865346534.65347;4113848002.40312;5134367778.1446;11516762614.2906;13458516762.6143;17754825601.0836;19838130714.5276;23762275651.8794;37816457839.4853;52569000000;37823000000;42382333333.3333;40712903225.8064;46938387096.7742;48425161290.3226;47264516129.0323;56774193548.3871;62684516129.0323;65831935483.871;180408064516.129;407796349.663785;553671957.671958;1031944881.13189;3991349282.75729;12894029888.1122;10433698621.3427;20764857056.3795;20617405044.2425;36881601583.8194;48364250943.9051;36176430128.8057;32928454672.4246;21921569478.8163;36627901762.063;49954890353.2609;65140147197.1215;88837055195.2619;131614433712.245;111657581662.35;138516722649.573;185749664444.444;218002481737.691;234637675128.645;228415656174.957;166774109673.732;166602488747.885;187217660050.676;227367469034.031;233636097800.338;184369797315.436;207889333724.138;
United Arab Emirates;ARE;GDP (current US$);NY.GDP.MKTP.CD;;;;;;;;;;;;;;;;14720672506.5004;19213022691.0526;24871775164.6043;23775831783.4263;31225463217.7582;43598748449.0479;49333424135.1131;46622718605.2847;42803323345.1376;41807954235.903;40603650231.5445;33943612094.7971;36384908744.2114;36275674203.2144;41464995913.9199;50701443748.2975;51552165622.4462;54239171887.769;55625170253.337;59305093979.842;65743666575.8649;73571233996.1863;78839008444.5655;75674336283.1858;84445473110.9598;104337372362.151;103311640571.818;109816201497.617;124346358066.712;147824370319.946;180617467964.602;222116541865.214;257916133424.098;315474615738.598;253547358747.447;289787452661.511;350666058392.172;374590657683.251;390107528483.058;403137207534.971;358134944420.504;357045156018.56;385605506854.881;422215043584.969;417215559513.364;358868765174.924;;
Kuwait;KWT;GDP (current US$);NY.GDP.MKTP.CD;;;;;;2097451694.2033;2391486978.43741;2441893027.16326;2663119574.34892;2769532343.88127;2873984878.18538;3880370401.57259;4451200972.9401;5408293998.65138;13004774556.6166;12024138275.8621;13131668946.6484;14135729588.2763;15500908760.4507;24746019536.903;28638550499.4451;25056672166.4275;21577977770.059;20869434305.3173;21697297872.3404;21442619680.8511;17903681693.0489;22365734481.5213;20692472759.8566;24312117767.1886;18427777777.7778;11008793176.2223;19858555214.7239;23941391390.7285;24848483838.3838;27191353887.3995;31493319973.2799;30355093966.3699;25939960629.9213;30123850197.1091;37712842242.5033;34887512226.9319;38137545245.1464;47876510067.1141;59439090600.6108;80798630136.9863;101548931771.192;114639690358.902;147395089285.714;105963168867.269;115419399860.433;154068115942.029;174070382279.385;174161142454.161;162631412508.784;114567298105.683;109419728566.7;120707435542.367;138182400493.585;136196760180.976;105960225688.145;;
Canada;CAN;GDP (current US$);NY.GDP.MKTP.CD;40461721692.6468;40934952063.9468;42227447631.9159;45029988561.2124;49377522896.703;54515179580.7148;61088384036.6515;65668655501.1254;71829810519.8955;79148411661.6902;87896095320.1263;99271961774.6088;113082820486.918;131321858814.119;160408697341.513;173834029689.343;206575564908.722;211612157028.679;218632867537.477;243072102612.259;273853826548.067;306214863624.99;313506525087.136;340547711781.889;355372558103.621;364756499450.751;377437927311.983;431316742081.448;507354351182.254;565055743243.243;593929550908.468;610328183643.188;592387689252.916;577170761956.438;578139279437.61;604031623433.401;628546387972.131;654986999855.554;634000000000;678412196271.118;744773415931.587;738981792355.372;760649334098.005;895540646634.787;1026690238278.25;1173108598778.68;1319264809590.97;1468820407783.26;1552989690721.65;1374625142157.29;1617343367486.26;1793326630174.52;1828366481521.6;1846597421834.98;1805749878439.94;1556508816217.14;1527994741907.43;1649265644244.09;1725329192783.02;1742015045482.31;1645423407568.36;1990761609665.23;
United States;USA;Oil production (TWh);;4046.94921875;4120.5439453125;4206.09423828125;4326.37158203125;4379.962890625;4974.08642578125;5286.287109375;5631.49755859375;5848.498046875;5947.0205078125;6204.48681640625;6116.07568359375;6139.3359375;5985.40625;5715.05517578125;5463.4296875;5326.3056640625;5382.40771484375;5631.31201171875;5547.4091796875;5584.6494140625;5568.40576171875;5590.8115234375;5616.85546875;5770.068359375;5799.94091796875;5609.49169921875;5434.2373046875;5338.890625;4989.65478515625;4845.2587890625;4918.28857421875;4803.560546875;4617.185546875;4506.61767578125;4460.72998046875;4443.333984375;4418.8193359375;4281.3466796875;4101.0400390625;4042.36572265625;4006.635009765625;3976.351318359375;3867.6064453125;3783.901611328125;3593.532470703125;3541.3720703125;3546.877197265625;3514.843505859375;3751.67919921875;3874.4775390625;4028.886962890625;4596.7001953125;5218.1962890625;6101.787109375;6595.638671875;6310.3583984375;6677.1865234375;7781.12060546875;8721.2802734375;8275.333984375;8270.3798828125;
