"","X","budget","popularity","production_countries","release_date","revenue","runtime","spoken_languages","vote_average","vote_classes","Comp_Universal","Comp_Paramount","Comp_Warner","Comp_20fox","Comp_Columbia","Comp_NewLine","Comp_Disney","Comp_VillageRoadshow","Comp_Miramax","Comp_Pixar","Comp_RelMedia","Comp_MGM","Comp_DreamWorks","Comp_Touchstone","Comp_CanalPlus","genere"
"1",1,237000000,150437577,1,"10/12/2009",2787965087,162,1,7.2,"7 a 8",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Fantasy"
"2",2,300000000,139082615,1,"19/05/2007",9.61e+08,169,1,6.9,"6 a 7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Adventure"
"3",3,245000000,107376788,1,"26/10/2015",880674609,148,1,6.3,"6 a 7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Action"
"4",4,250000000,11231295,1,"16/07/2012",1084939099,165,1,7.6,"7 a 8",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"5",5,260000000,43926995,1,"07/03/2012",284139100,132,1,6.1,"6 a 7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Action"
"6",6,258000000,115699814,1,"01/05/2007",890871626,139,1,5.9,"5 a 6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Action"
"7",7,260000000,48681969,1,"24/11/2010",591794936,100,1,7.4,"7 a 8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Animation"
"8",8,280000000,134279229,1,"22/04/2015",1405403694,141,1,7.3,"7 a 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"9",9,250000000,98885637,1,"07/07/2009",933959197,153,1,7.4,"7 a 8",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Fantasy"
"10",10,250000000,155790452,1,"23/03/2016",873260194,151,1,5.7,"5 a 6",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"11",11,270000000,57925623,1,"28/06/2006",391081192,154,1,5.4,"5 a 6",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"12",12,200000000,107928811,1,"30/10/2008",586090727,106,1,6.1,"6 a 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"13",13,200000000,145847379,1,"20/06/2006",1065659812,151,1,7,"7 a 8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Adventure"
"14",14,255000000,49046956,1,"03/07/2013",89289910,149,1,5.9,"5 a 6",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Action"
"15",15,225000000,99398009,1,"12/06/2013",662845518,143,1,6.5,"6 a 7",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"16",16,225000000,53978602,1,"15/05/2008",419651413,150,1,6.3,"6 a 7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Fantasy"
"17",17,220000000,144448633,1,"25/04/2012",1519557910,143,1,7.4,"7 a 8",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"18",18,380000000,135413856,1,"14/05/2011",1045713802,136,1,6.4,"6 a 7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Adventure"
"19",19,225000000,52035179,1,"23/05/2012",624026776,106,1,6.2,"6 a 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"20",20,250000000,120965743,1,"10/12/2014",956019788,144,1,7.1,"7 a 8",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,"Fantasy"
"21",21,215000000,89866276,1,"27/06/2012",752215857,136,1,6.5,"6 a 7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Action"
"22",22,200000000,37668301,1,"12/05/2010",310669540,140,1,6.2,"6 a 7",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Action"
"23",23,250000000,94370564,1,"11/12/2013",958400000,161,1,7.6,"7 a 8",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,"Fantasy"
"24",24,180000000,42990906,1,"04/12/2007",372234864,113,1,5.8,"5 a 6",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Fantasy"
"25",25,207000000,6122601,1,"14/12/2005",5.5e+08,187,1,6.6,"6 a 7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adventure"
"26",26,200000000,100025899,1,"18/11/1997",1845034188,194,1,7.5,"7 a 8",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"Drama"
"27",27,250000000,198372395,1,"27/04/2016",1153304495,147,1,7.1,"7 a 8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Action"
"28",28,209000000,64928382,1,"11/04/2012",303025485,131,1,5.5,"5 a 6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"29",29,150000000,418708552,1,"09/06/2015",1513528810,124,1,6.5,"6 a 7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adventure"
"30",30,200000000,93004993,1,"25/10/2012",1108561013,143,1,6.9,"6 a 7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Action"
"31",31,200000000,35149586,1,"25/06/2004",783766341,127,1,6.7,"6 a 7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Action"
"32",32,200000000,7768208,1,"18/04/2013",1215439994,130,1,6.8,"6 a 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"33",33,200000000,78530105,1,"03/03/2010",1025491110,108,1,6.4,"6 a 7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Fantasy"
"34",34,210000000,3857526,1,"24/05/2006",459359555,104,1,6.3,"6 a 7",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Action"
"35",35,200000000,89186492,1,"20/06/2013",743559607,104,1,7,"7 a 8",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Animation"
"36",36,150000000,21939663,1,"19/06/2009",836297228,150,1,6,"6 a 7",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"Action"
"37",37,210000000,116840296,1,"25/06/2014",1091405097,165,1,5.8,"5 a 6",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"38",38,200000000,46985445,1,"07/03/2013",491868548,130,1,5.7,"5 a 6",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Adventure"
"39",39,200000000,89270217,1,"16/04/2014",705717432,142,1,6.5,"6 a 7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Action"
"40",40,170000000,7379505,1,"10/12/2010",400062763,125,1,6.3,"6 a 7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Science Fiction"
"41",41,200000000,4998659,1,"11/06/2011",559852396,106,1,5.8,"5 a 6",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Animation"
"42",42,200000000,51872839,1,"16/06/2011",219851172,114,1,5.1,"5 a 6",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"43",43,200000000,59995418,1,"16/06/2010",1066969703,103,1,7.6,"7 a 8",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Animation"
"44",44,200000000,71862892,1,"20/05/2009",371353001,115,1,5.9,"5 a 6",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Action"
"45",45,190000000,102322217,1,"01/04/2015",1506249360,137,1,7.3,"7 a 8",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"46",46,200000000,81834855,1,"20/06/2013",531865000,116,1,6.7,"6 a 7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"47",47,250000000,118078691,1,"15/05/2014",747862775,131,1,7.5,"7 a 8",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Action"
"48",48,190000000,78291018,1,"05/05/2013",467365246,132,1,7.4,"7 a 8",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Science Fiction"
"49",49,195000000,43349855,1,"27/02/2013",197687603,114,1,5.5,"5 a 6",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,"Fantasy"
"50",50,105000000,61196071,1,"10/05/2013",351040419,143,1,7.3,"7 a 8",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"Drama"
"51",51,150000000,62169881,1,"19/05/2010",335154643,116,1,6.2,"6 a 7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Adventure"
"52",52,180000000,56523205,1,"11/07/2013",407602906,131,1,6.7,"6 a 7",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,"Action"
"53",53,195000000,28529607,1,"28/06/2011",1123746996,154,1,6.1,"6 a 7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"54",54,185000000,75674458,1,"21/05/2008",786636033,122,1,5.7,"5 a 6",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adventure"
"55",55,175000000,51692953,1,"14/11/2015",331926147,93,1,6.6,"6 a 7",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Animation"
"56",56,185000000,125114374,1,"21/06/2012",538983207,93,1,6.7,"6 a 7",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Animation"
"57",57,185000000,65352913,1,"07/07/2016",343471816,122,1,6.6,"6 a 7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Science Fiction"
"58",58,180000000,66390712,1,"22/06/2008",521311860,98,1,7.8,"7 a 8",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Animation"
"59",59,140000000,2257178,1,"08/08/2007",258022233,91,1,6.1,"6 a 7",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Action"
"60",60,200000000,45274225,1,"10/10/2009",769653595,158,1,5.6,"5 a 6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Action"
"61",61,200000000,39744242,1,"04/11/2009",325233863,96,1,6.6,"6 a 7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Animation"
"62",62,176000003,8536908,1,"04/02/2015",183987723,124,1,5.2,"5 a 6",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"Action"
"63",63,180000000,42741719,1,"29/06/2016",356743061,109,1,5.5,"5 a 6",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Adventure"
"64",64,180000000,67391328,1,"07/12/2005",748806957,143,1,6.7,"6 a 7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Fantasy"
"65",65,178000000,139272042,1,"18/05/2016",543934787,144,1,6.4,"6 a 7",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Action"
"66",66,185000000,187322927,1,"16/07/2008",1004558444,152,1,8.2,"8 a 10",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"67",67,175000000,92201962,1,"13/05/2009",735099082,96,1,7.7,"7 a 8",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Animation"
"68",68,175000000,36167578,1,"19/03/2009",381509870,94,1,6,"6 a 7",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Animation"
"69",69,140000000,120725053,1,"30/04/2008",585174222,126,1,7.4,"7 a 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"70",70,170000000,32319043,1,"22/11/2011",185770160,126,1,7,"7 a 8",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Adventure"
"71",71,170000000,40748915,1,"29/06/1999",222104681,106,1,5.1,"5 a 6",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"72",72,145000000,60034162,1,"01/07/2008",401128639,112,1,5.2,"5 a 6",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Adventure"
"73",73,175000000,9023792,1,"02/08/2016",7.45e+08,123,1,5.9,"5 a 6",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"74",74,175000000,27082182,1,"09/06/2007",1.73e+08,96,1,5.3,"5 a 6",1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"Comedy"
"75",75,178000000,79456485,1,"27/05/2014",370541256,113,1,7.6,"7 a 8",0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,"Action"
"76",76,175000000,44640292,1,"28/07/1995",264218220,135,1,5.9,"5 a 6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"77",77,175000000,32852443,1,"04/08/2009",302469017,118,1,5.6,"5 a 6",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"78",78,175000000,128655964,1,"09/06/2015",857611174,94,1,8,"8 a 10",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Animation"
"79",79,175000000,94199316,1,"07/04/2016",966550600,106,1,6.7,"6 a 7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Adventure"
"80",80,200000000,77300194,1,"28/04/2010",623933331,124,1,6.6,"6 a 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"81",81,170000000,77178973,1,"30/05/2012",396600000,127,1,5.8,"5 a 6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fantasy"
"82",82,180000000,110620647,1,"28/05/2014",758539785,97,1,7,"7 a 8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Action"
"83",83,170000000,243791743,1,"26/06/2014",710644566,130,1,7.3,"7 a 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Science Fiction"
"85",85,175000000,41796339,1,"06/12/2013",150962475,119,1,5.9,"5 a 6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"86",86,170000000,72225265,1,"20/03/2014",714766572,136,1,7.6,"7 a 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"87",87,165000000,44041186,1,"16/05/2010",752600867,93,1,6,"6 a 7",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Animation"
"88",88,190000000,130311355,1,"19/05/2015",209154322,130,1,6.2,"6 a 7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Adventure"
"89",89,165000000,20373459,1,"24/10/2014",652105443,102,1,7.8,"7 a 8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Animation"
"90",90,165000000,62341073,1,"01/11/2012",471222889,108,1,7.1,"7 a 8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Animation"
"91",91,165000000,47323228,1,"10/11/2004",305875730,100,1,6.4,"6 a 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Animation"
"92",92,165000000,48775723,1,"22/06/2016",389681935,120,1,4.9,"0 a 5",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Action"
"93",93,165000000,67263269,1,"05/03/2010",494878759,98,1,7.5,"7 a 8",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Animation"
"94",94,200000000,69405188,1,"02/07/2003",4.35e+08,109,1,5.9,"5 a 6",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Action"
"95",95,170000000,481098624,1,"30/07/2014",773328629,121,1,7.9,"7 a 8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"96",96,165000000,724247784,1,"05/11/2014",675120017,169,1,8.1,"8 a 10",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Science Fiction"
"97",97,160000000,16758371,1,"14/07/2010",825532764,148,1,8.1,"8 a 10",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"98",98,15000000,9476999,0,"29/07/2016",7.7e+07,120,1,6.5,"6 a 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"99",99,250000000,108849621,1,"26/11/2012",1021103568,169,1,7,"7 a 8",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,"Fantasy"
"100",100,38000000,6909942,1,"22/06/2001",207283925,106,1,6.6,"6 a 7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"101",101,150000000,60269279,1,"24/11/2008",333932083,166,1,7.3,"7 a 8",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Drama"
"102",102,160000000,3195174,1,"24/05/2011",353624124,132,1,7.1,"7 a 8",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Action"
"103",103,160000000,127284427,1,"18/11/2015",653428261,137,1,6.6,"6 a 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fantasy"
"104",104,150000000,35580815,1,"13/07/2010",215283742,109,1,5.8,"5 a 6",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Action"
"105",105,160000000,21133748,1,"12/05/2006",181674817,99,1,5.5,"5 a 6",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"106",106,170000000,56268916,1,"25/05/2016",299370084,113,1,6.5,"6 a 7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Fantasy"
"107",107,160000000,42986467,1,"17/05/2007",798958165,93,0,6,"6 a 7",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Animation"
"108",108,160000000,63148529,1,"25/05/2016",433677183,123,1,6.3,"6 a 7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fantasy"
"109",109,155000000,202042635,1,"23/06/2015",440603537,126,1,5.8,"5 a 6",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"110",110,155000000,49661984,1,"13/08/2010",415686217,113,1,6.2,"6 a 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Fantasy"
"111",111,140000000,3420669,1,"21/05/2001",449220945,183,1,6.6,"6 a 7",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"History"
"112",112,150000000,25468493,1,"27/06/2007",709709780,144,1,6.6,"6 a 7",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"Action"
"113",113,155000000,39019229,1,"21/11/2004",167298192,175,1,5.6,"5 a 6",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"History"
"114",114,150000000,78144395,1,"28/06/2007",938212738,138,1,7.4,"7 a 8",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Fantasy"
"115",115,150000000,101250416,1,"05/11/2005",895921036,157,1,7.5,"7 a 8",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Fantasy"
"116",116,150000000,56758411,1,"01/07/2008",624029371,92,1,6.2,"6 a 7",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"Action"
"117",117,150000000,70867401,1,"14/12/2007",585349010,101,1,6.9,"6 a 7",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"Action"
"118",118,150000000,53905592,1,"13/07/2005",474968763,115,1,6.7,"6 a 7",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"Fantasy"
"119",119,150000000,65677399,1,"22/06/2007",623722818,111,1,7.5,"7 a 8",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,"Animation"
"120",120,150000000,115040024,1,"10/06/2005",374218673,140,1,7.5,"7 a 8",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"121",121,150000000,44141021,1,"30/10/2008",603900354,89,1,6.2,"6 a 7",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Animation"
"122",122,150000000,81781591,1,"20/05/2009",413106170,105,1,5.9,"5 a 6",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Comedy"
"123",123,150000000,5954334,1,"28/04/2009",373062864,107,1,6.2,"6 a 7",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Action"
"124",124,150000000,73313918,1,"05/11/2003",424988211,129,1,6.4,"6 a 7",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"Science Fiction"
"125",125,150000000,165125366,1,"27/11/2013",1274219009,102,1,7.3,"7 a 8",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Animation"
"126",126,150000000,7078591,1,"15/05/2003",738599701,138,1,6.7,"6 a 7",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"Science Fiction"
"127",127,170000000,99499595,1,"29/10/2013",644571402,112,1,6.8,"6 a 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"128",128,150000000,434278564,1,"13/05/2015",378858340,120,1,7.2,"7 a 8",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"Action"
"129",129,150000000,67447636,1,"13/05/2009",356613439,138,1,6.5,"6 a 7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Thriller"
"130",130,150000000,86493424,1,"21/04/2011",449326618,115,1,6.6,"6 a 7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"131",131,150000000,41845878,1,"21/11/2008",309979994,98,1,6.3,"6 a 7",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Animation"
"132",132,150000000,26710398,1,"21/07/2009",292817841,88,1,5.1,"5 a 6",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Action"
"133",133,150000000,44927635,1,"27/03/2012",3.01e+08,99,1,5.5,"5 a 6",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Fantasy"
"134",134,150000000,50306728,1,"08/05/2012",245527149,113,1,5.7,"5 a 6",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"Fantasy"
"135",135,150000000,114522237,1,"23/07/2015",682330139,131,1,7.1,"7 a 8",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"137",137,150000000,29332905,1,"28/10/2007",287594577,91,1,5.7,"5 a 6",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Animation"
"138",138,150000000,51247321,1,"25/05/2011",665692281,91,1,6.7,"6 a 7",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"Animation"
"139",139,150000000,33769336,1,"30/06/2010",318502923,103,1,4.7,"0 a 5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"140",140,150000000,63079003,1,"03/05/2006",397850012,126,1,6.5,"6 a 7",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Action"
"141",141,150000000,39004588,1,"27/06/2013",205366737,131,1,6.4,"6 a 7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Action"
"142",142,150000000,12362599,1,"09/03/2011",38992758,88,1,5.5,"5 a 6",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Animation"
