Entity,Code,Year,Oil Consumption - TWh
Africa,,1965,341.26275634765625
Africa,,1966,369.486572265625
Africa,,1967,368.125244140625
Africa,,1968,389.1998596191406
Africa,,1969,396.9228515625
Africa,,1970,433.7723083496094
Africa,,1971,473.5654296875
Africa,,1972,510.6726379394531
Africa,,1973,549.7197875976562
Africa,,1974,567.7996826171875
Africa,,1975,596.4046630859375
Africa,,1976,652.5804443359375
Africa,,1977,695.1663208007812
Africa,,1978,732.1810302734375
Africa,,1979,770.9386596679688
Africa,,1980,817.2388916015625
Africa,,1981,883.8618774414062
Africa,,1982,925.2272338867188
Africa,,1983,964.5521850585938
Africa,,1984,981.7520751953125
Africa,,1985,1007.0918579101562
Africa,,1986,988.5931396484375
Africa,,1987,1042.068603515625
Africa,,1988,1086.2681884765625
Africa,,1989,1123.926513671875
Africa,,1990,1142.40283203125
Africa,,1991,1148.7052001953125
Africa,,1992,1170.524658203125
Africa,,1993,1180.07666015625
Africa,,1994,1221.8846435546875
Africa,,1995,1266.78173828125
Africa,,1996,1293.97119140625
Africa,,1997,1332.2730712890625
Africa,,1998,1363.5086669921875
Africa,,1999,1414.5601806640625
Africa,,2000,1420.386474609375
Africa,,2001,1432.664306640625
Africa,,2002,1479.16650390625
Africa,,2003,1524.8150634765625
Africa,,2004,1586.5107421875
Africa,,2005,1654.919189453125
Africa,,2006,1673.716796875
Africa,,2007,1734.74072265625
Africa,,2008,1824.8509521484375
Africa,,2009,1885.976318359375
Africa,,2010,1966.214599609375
Africa,,2011,1934.1708984375
Africa,,2012,2046.8299560546875
Africa,,2013,2121.44140625
Africa,,2014,2143.33349609375
Africa,,2015,2199.14501953125
Africa,,2016,2210.926025390625
Africa,,2017,2233.08984375
Africa,,2018,2257.501953125
Africa,,2019,2262.0361328125
Africa,,2020,2011.0526123046875
Africa,,2021,2183.5419921875
Africa (BP),,1965,341.26275634765625
Africa (BP),,1966,369.486572265625
Africa (BP),,1967,368.125244140625
Africa (BP),,1968,389.1998596191406
Africa (BP),,1969,396.9228820800781
Africa (BP),,1970,433.7723083496094
Africa (BP),,1971,473.5654296875
Africa (BP),,1972,510.6726379394531
Africa (BP),,1973,549.7197875976562
Africa (BP),,1974,567.7996826171875
Africa (BP),,1975,596.4046630859375
Africa (BP),,1976,652.5805053710938
Africa (BP),,1977,695.1663208007812
Africa (BP),,1978,732.1810302734375
Africa (BP),,1979,770.9386596679688
Africa (BP),,1980,817.2388916015625
Africa (BP),,1981,883.8618774414062
Africa (BP),,1982,925.2272338867188
Africa (BP),,1983,964.5521850585938
Africa (BP),,1984,981.7520141601562
Africa (BP),,1985,1007.0918579101562
Africa (BP),,1986,988.5932006835938
Africa (BP),,1987,1042.0687255859375
Africa (BP),,1988,1086.2681884765625
